seqnames,start,end,width,strand,pileup_macs2,score_ChIPSP,feature,start_position,end_position,feature_strand,insideFeature,distancetoFeature,shortestDistance,fromOverlappingOrNearest,symbol,pileup,score,Rank
chr11,72955000,72960000,5001,*,25.08,0.053394033,5031,72975550,73009670,+,upstream,-20550,15550,NearestLocation,P2RY6,25.08,0.053394033,268
chr18,24240000,24250000,10001,*,47.02,0.053059034,284252,24034874,24237365,-,upstream,-2635,2635,NearestLocation,KCTD1,47.02,0.053059034,269
chr4,170400000,170410000,10001,*,21.32,0.052998031,4750,170314421,170533778,-,inside,133778,85579,NearestLocation,NEK1,21.32,0.052998031,270
chr3,66320000,66325000,5001,*,20.69,0.051920907,115286,66119285,66438532,+,inside,200715,113532,NearestLocation,SLC25A26,20.69,0.051920907,271
chr13,107780000,107785000,5001,*,20.69,0.051861285,100874173,107306228,107324528,+,downstream,473772,455472,NearestLocation,LINC00443,20.69,0.051861285,272
chr13,107780000,107785000,5001,*,20.69,0.051861285,100874173,107306228,107324528,+,downstream,473772,455472,NearestLocation,LINC00443,12.54,0.010330506,272
chr3,66310000,66320000,10001,*,20.69,0.051008478,115286,66119285,66438532,+,inside,190715,118532,NearestLocation,SLC25A26,20.69,0.051008478,273
chr10,12275000,12300000,25001,*,31.35,0.05063247,8872,12237961,12292589,+,overlapEnd,37039,7411,Overlapping,CDC123,31.35,0.05063247,274
chr10,12275000,12300000,25001,*,31.35,0.05063247,11164,12209573,12238143,-,upstream,-36857,36857,NearestLocation,NUDT5,31.35,0.05063247,274
chr8,22475000,22480000,5001,*,20.06,0.050021227,57805,22462145,22477983,+,overlapEnd,12855,2017,NearestLocation,CCAR2,20.06,0.050021227,275
chr8,22475000,22480000,5001,*,20.06,0.050021227,55909,22477947,22526661,-,overlapEnd,51661,2053,Overlapping,BIN3,20.06,0.050021227,275
chr13,107780000,107790000,10001,*,20.69,0.049037988,100874173,107306228,107324528,+,downstream,473772,455472,NearestLocation,LINC00443,20.69,0.049037988,276
chr13,107780000,107790000,10001,*,20.69,0.049037988,100874173,107306228,107324528,+,downstream,473772,455472,NearestLocation,LINC00443,12.54,0.007507209,276
chr3,14960000,14965000,5001,*,20.06,0.048884649,7182,14989236,15090780,+,upstream,-29236,24236,NearestLocation,NR2C2,20.06,0.048884649,277
chr3,14960000,14965000,5001,*,20.06,0.048884649,100505641,14961857,14989948,-,overlapEnd,29948,1857,Overlapping,FGD5-AS1,20.06,0.048884649,277
chr3,14960000,14965000,5001,*,20.06,0.048884649,152273,14860469,14976072,+,inside,99531,11072,Overlapping,FGD5,20.06,0.048884649,277
chr14,60370000,60375000,5001,*,31.35,0.048542788,341883,60386431,60530277,+,upstream,-16431,11431,NearestLocation,LRRC9,31.35,0.048542788,278
chr1,101730000,101740000,10001,*,21.32,0.048228574,1901,101702305,101707076,+,downstream,27695,22924,NearestLocation,S1PR1,21.32,0.048228574,279
chr3,14820000,14825000,5001,*,20.06,0.048177986,152273,14860469,14976072,+,upstream,-40469,35469,NearestLocation,FGD5,20.06,0.048177986,280
chr16,3740000,3745000,5001,*,28.21,0.048114077,10131,3708038,3767598,-,inside,27598,22598,NearestLocation,TRAP1,28.21,0.048114077,281
chr7,106100000,106110000,10001,*,21.32,0.048021425,10135,105888732,105925638,-,upstream,-174362,174362,NearestLocation,NAMPT,21.32,0.048021425,282
chr1,182565000,182570000,5001,*,19.44,0.047951483,6041,182542769,182558394,-,upstream,-6606,6606,NearestLocation,RNASEL,19.44,0.047951483,283
chr1,182565000,182570000,5001,*,19.44,0.047951483,6004,182567758,182573548,-,overlapEnd,8548,2242,Overlapping,RGS16,19.44,0.047951483,283
chr12,79810000,79820000,10001,*,27.59,0.047911945,100302136,79813037,79813101,+,includeFeature,-3037,3037,NearestLocation,MIR1252,27.59,0.047911945,284
chr12,79810000,79820000,10001,*,27.59,0.047911945,6857,79257773,79845788,+,inside,552227,25788,Overlapping,SYT1,27.59,0.047911945,284
chr6,7250000,7260000,10001,*,20.69,0.047547374,6745,7281288,7313541,-,downstream,63541,21288,NearestLocation,SSR1,20.69,0.047547374,285
chr6,7250000,7260000,10001,*,20.69,0.047547374,6239,7107830,7252213,+,overlapEnd,142170,2213,Overlapping,RREB1,20.69,0.047547374,285
chr1,182570000,182580000,10001,*,19.44,0.047004789,6004,182567758,182573548,-,overlapStart,3548,2242,NearestLocation,RGS16,19.44,0.047004789,286
chr3,156850000,156855000,5001,*,19.44,0.046832947,339894,156799456,156840791,-,upstream,-9209,9209,NearestLocation,LINC00880,19.44,0.046832947,287
chr1,245310000,245320000,10001,*,19.44,0.046004019,55083,245318287,245866428,+,overlapStart,-8287,1713,NearestLocation,KIF26B,13.79,0.017212743,288
chr1,245310000,245320000,10001,*,19.44,0.046004019,55083,245318287,245866428,+,overlapStart,-8287,1713,NearestLocation,KIF26B,18.18,0.039583309,288
chr1,245310000,245320000,10001,*,19.44,0.046004019,55083,245318287,245866428,+,overlapStart,-8287,1713,NearestLocation,KIF26B,19.44,0.046004019,288
chr8,18770000,18775000,5001,*,26.33,0.045706824,23362,18384813,18871196,-,inside,101196,96196,NearestLocation,PSD3,26.33,0.045706824,289
chr8,18770000,18775000,5001,*,26.33,0.045706824,23362,18384813,18871196,-,inside,101196,96196,NearestLocation,PSD3,25.08,-0.359269149,289
chr8,18770000,18775000,5001,*,26.33,0.045706824,23362,18384813,18871196,-,inside,101196,96196,NearestLocation,PSD3,38.87,0.109608169,289
chr2,198660000,198670000,10001,*,19.44,0.045099005,5334,198669426,199014608,+,overlapStart,-9426,574,Overlapping,PLCL1,19.44,0.045099005,290
chr2,198660000,198670000,10001,*,19.44,0.045099005,66037,198591603,198650938,-,upstream,-9062,9062,NearestLocation,BOLL,19.44,0.045099005,290
chr3,128300000,128325000,25001,*,45.77,0.044752557,23434,128290843,128294929,-,upstream,-5071,5071,NearestLocation,LINC01565,45.77,0.044752557,291
chr17,27290000,27295000,5001,*,18.81,0.044714804,124925,27281947,27333458,-,inside,43458,8053,Overlapping,SEZ6,18.81,0.044714804,292
chr17,27290000,27295000,5001,*,18.81,0.044714804,57649,27232271,27278508,-,upstream,-11492,11492,NearestLocation,PHF12,18.81,0.044714804,292
chr1,214510000,214515000,5001,*,18.81,0.044701545,56950,214454565,214510477,+,overlapEnd,55435,477,NearestLocation,SMYD2,18.81,0.044701545,293
chr8,93080000,93085000,5001,*,18.81,0.04465694,862,92967195,93115454,-,inside,35454,30454,NearestLocation,RUNX1T1,18.81,0.04465694,294
chr16,78005000,78010000,5001,*,18.81,0.044573428,10143,78056443,78066001,+,upstream,-51443,46443,NearestLocation,CLEC3A,18.81,0.044573428,295
chr16,78005000,78010000,5001,*,18.81,0.044573428,57687,77822483,78014001,+,inside,182517,4001,Overlapping,VAT1L,18.81,0.044573428,295
chr2,225145000,225150000,5001,*,18.81,0.04444189,79843,225243415,225266711,-,downstream,121711,93415,NearestLocation,FAM124B,18.81,0.04444189,296
chr5,67555000,67560000,5001,*,21.94,0.044309893,5295,67511584,67597649,+,inside,43416,37649,NearestLocation,PIK3R1,21.94,0.044309893,297
chr1,101330000,101340000,10001,*,23.2,0.04421154,2135,101337928,101360735,-,overlapEnd,30735,2072,NearestLocation,EXTL2,23.2,0.04421154,298
chr2,225150000,225160000,10001,*,18.81,0.043222043,79843,225243415,225266711,-,downstream,116711,83415,NearestLocation,FAM124B,18.81,0.043222043,299
chr7,82355000,82360000,5001,*,18.81,0.042847479,781,81579418,82073031,-,upstream,-281969,281969,NearestLocation,CACNA2D1,18.81,0.042847479,300
chr12,108270000,108280000,10001,*,22.57,0.042714952,728739,108296927,108297548,-,downstream,27548,16927,NearestLocation,LOC728739,22.57,0.042714952,301
chr18,46200000,46210000,10001,*,23.82,0.04267407,100616366,46196971,46197039,+,downstream,3029,2961,NearestLocation,MIR4743,23.82,0.04267407,302
chr18,46200000,46210000,10001,*,23.82,0.04267407,9811,46065427,46389586,+,inside,134573,134573,Overlapping,CTIF,23.82,0.04267407,302
chr12,1910000,1920000,10001,*,21.32,0.042053093,93589,1901123,2027870,-,inside,117870,8877,Overlapping,CACNA2D4,53.92,0.208176208,304
chr12,1910000,1920000,10001,*,21.32,0.042053093,93589,1901123,2027870,-,inside,117870,8877,Overlapping,CACNA2D4,21.32,0.042053093,304
chr12,1910000,1920000,10001,*,21.32,0.042053093,654429,1929433,1945918,+,upstream,-19433,9433,NearestLocation,LRTM2,53.92,0.208176208,304
chr12,1910000,1920000,10001,*,21.32,0.042053093,654429,1929433,1945918,+,upstream,-19433,9433,NearestLocation,LRTM2,21.32,0.042053093,304
chr12,5100000,5110000,10001,*,21.32,0.042053093,3741,5153085,5155954,+,upstream,-53085,43085,NearestLocation,KCNA5,21.32,0.042053093,303
chr14,73930000,73940000,10001,*,21.32,0.0415318,8650,73741918,73925286,-,upstream,-4714,4714,NearestLocation,NUMB,21.32,0.0415318,305
chr4,10545000,10550000,5001,*,18.18,0.041528603,116449,10491838,10686386,-,inside,141386,53162,Overlapping,CLNK,18.18,0.041528603,306
chr4,10545000,10550000,5001,*,18.18,0.041528603,85460,10441504,10459032,-,upstream,-85968,85968,NearestLocation,ZNF518B,18.18,0.041528603,306
chr7,98030000,98035000,5001,*,18.18,0.041214944,55971,97920962,98030427,-,overlapStart,427,427,NearestLocation,BAIAP2L1,18.18,0.041214944,307
chr16,78000000,78010000,10001,*,18.81,0.041131119,10143,78056443,78066001,+,upstream,-56443,46443,NearestLocation,CLEC3A,18.81,0.041131119,308
chr16,78000000,78010000,10001,*,18.81,0.041131119,57687,77822483,78014001,+,inside,177517,4001,Overlapping,VAT1L,18.81,0.041131119,308
chr4,10540000,10550000,10001,*,18.18,0.040866131,116449,10491838,10686386,-,inside,146386,48162,Overlapping,CLNK,18.18,0.040866131,309
chr4,10540000,10550000,10001,*,18.18,0.040866131,85460,10441504,10459032,-,upstream,-80968,80968,NearestLocation,ZNF518B,18.18,0.040866131,309
chr11,110320000,110330000,10001,*,20.06,0.040758235,2230,110300661,110335608,+,inside,19339,5608,NearestLocation,FDX1,20.06,0.040758235,310
chr1,163140000,163150000,10001,*,19.44,0.040675397,8490,163112089,163291581,-,inside,151581,27911,Overlapping,RGS5,19.44,0.040675397,311
chr1,163140000,163150000,10001,*,19.44,0.040675397,5999,163038396,163046592,+,downstream,101604,93408,NearestLocation,RGS4,19.44,0.040675397,311
chr1,173170000,173175000,5001,*,18.81,0.039646254,7292,173152870,173176471,-,inside,6471,1471,NearestLocation,TNFSF4,18.81,0.039646254,312
chr1,245310000,245320000,10001,*,18.18,0.039583309,55083,245318287,245866428,+,overlapStart,-8287,1713,NearestLocation,KIF26B,13.79,0.017212743,313
chr1,245310000,245320000,10001,*,18.18,0.039583309,55083,245318287,245866428,+,overlapStart,-8287,1713,NearestLocation,KIF26B,18.18,0.039583309,313
chr1,245310000,245320000,10001,*,18.18,0.039583309,55083,245318287,245866428,+,overlapStart,-8287,1713,NearestLocation,KIF26B,19.44,0.046004019,313
chr11,112160000,112165000,5001,*,20.06,0.039290019,349633,112118876,112131583,-,upstream,-28417,28417,NearestLocation,PLET1,20.06,0.039290019,314
chr17,56085000,56090000,5001,*,18.18,0.039288695,6426,56078280,56084707,-,upstream,-293,293,NearestLocation,SRSF1,18.18,0.039288695,315
chr17,27290000,27300000,10001,*,18.81,0.038936514,57649,27232271,27278508,-,upstream,-11492,11492,NearestLocation,PHF12,18.81,0.038936514,316
chr17,27290000,27300000,10001,*,18.81,0.038936514,124925,27281947,27333458,-,inside,43458,8053,Overlapping,SEZ6,18.81,0.038936514,316
chr13,107565000,107570000,5001,*,20.69,0.038689098,100874173,107306228,107324528,+,downstream,258772,240472,NearestLocation,LINC00443,12.54,-0.00284168,317
chr13,107565000,107570000,5001,*,20.69,0.038689098,100874173,107306228,107324528,+,downstream,258772,240472,NearestLocation,LINC00443,20.69,0.038689098,317
chr1,108660000,108670000,10001,*,18.18,0.038611518,29957,108677344,108742980,-,downstream,82980,7344,NearestLocation,SLC25A24,18.18,0.038611518,318
chr11,93385000,93390000,5001,*,17.55,0.038313076,85459,93394816,93463522,+,upstream,-9816,4816,NearestLocation,CEP295,17.55,0.038313076,319
chr11,93385000,93390000,5001,*,17.55,0.038313076,85459,93394816,93463522,+,upstream,-9816,4816,NearestLocation,CEP295,15.05,-0.893061305,319
chr9,90275000,90280000,5001,*,17.55,0.038288975,1514,90340974,90346384,+,upstream,-65974,60974,NearestLocation,CTSL,17.55,0.038288975,320
chr9,90275000,90280000,5001,*,17.55,0.038288975,1612,90112658,90323549,+,inside,162342,43549,Overlapping,DAPK1,17.55,0.038288975,320
chr17,68610000,68620000,10001,*,20.06,0.037700734,400617,68163102,68165543,-,upstream,-444457,444457,NearestLocation,KCNJ2-AS1,20.06,0.037700734,321
chr17,68610000,68620000,10001,*,20.06,0.037700734,400617,68163102,68165543,-,upstream,-444457,444457,NearestLocation,KCNJ2-AS1,17.55,0.024910273,321
chr16,82250000,82260000,10001,*,25.08,0.03752746,10200,82181767,82203829,-,upstream,-46171,46171,NearestLocation,MPHOSPH6,25.08,0.03752746,322
chr11,93275000,93280000,5001,*,17.55,0.037520391,56935,93211639,93276546,-,overlapStart,1546,1546,NearestLocation,SMCO4,17.55,0.037520391,323
chr11,93275000,93280000,5001,*,17.55,0.037520391,56935,93211639,93276546,-,overlapStart,1546,1546,NearestLocation,SMCO4,12.54,0.011990428,323
chr15,77480000,77485000,5001,*,20.06,0.037431667,79834,77400498,77712446,-,inside,232446,79502,Overlapping,PEAK1,16.3,0.018271455,324
chr15,77480000,77485000,5001,*,20.06,0.037431667,79834,77400498,77712446,-,inside,232446,79502,Overlapping,PEAK1,20.06,0.037431667,324
chr15,77480000,77485000,5001,*,20.06,0.037431667,81698,77516250,77517746,-,downstream,37746,31250,NearestLocation,LINC00597,16.3,0.018271455,324
chr15,77480000,77485000,5001,*,20.06,0.037431667,81698,77516250,77517746,-,downstream,37746,31250,NearestLocation,LINC00597,20.06,0.037431667,324
chr7,98030000,98040000,10001,*,18.18,0.037415684,55971,97920962,98030427,-,overlapStart,427,427,NearestLocation,BAIAP2L1,18.18,0.037415684,325
chr3,161130000,161135000,5001,*,17.55,0.037396578,101243545,161144215,161166030,+,upstream,-14215,9215,NearestLocation,LINC02067,17.55,0.037396578,326
chr14,34310000,34315000,5001,*,17.55,0.03716657,112399,34393421,34420284,-,downstream,110284,78421,NearestLocation,EGLN3,17.55,0.03716657,327
chr9,90270000,90280000,10001,*,17.55,0.036983346,1612,90112658,90323549,+,inside,157342,43549,Overlapping,DAPK1,17.55,0.036983346,328
chr9,90270000,90280000,10001,*,17.55,0.036983346,1514,90340974,90346384,+,upstream,-70974,60974,NearestLocation,CTSL,17.55,0.036983346,328
chr8,93080000,93090000,10001,*,18.81,0.036947961,862,92967195,93115454,-,inside,35454,25454,NearestLocation,RUNX1T1,18.81,0.036947961,329
chr3,62170000,62180000,10001,*,36.36,0.03651889,5793,61547243,62280573,+,inside,622757,100573,Overlapping,PTPRG,36.36,0.03651889,330
chr3,62170000,62180000,10001,*,36.36,0.03651889,100506994,62247494,62304622,-,downstream,134622,67494,NearestLocation,PTPRG-AS1,36.36,0.03651889,330
chr10,93840000,93845000,5001,*,18.18,0.036507803,9044,93683736,93790080,+,downstream,156264,49920,NearestLocation,BTAF1,16.93,0.030138052,331
chr10,93840000,93845000,5001,*,18.18,0.036507803,9044,93683736,93790080,+,downstream,156264,49920,NearestLocation,BTAF1,18.18,0.036507803,331
chr10,93840000,93845000,5001,*,18.18,0.036507803,22849,93808397,94050875,-,inside,210875,31603,Overlapping,CPEB3,16.93,0.030138052,331
chr10,93840000,93845000,5001,*,18.18,0.036507803,22849,93808397,94050875,-,inside,210875,31603,Overlapping,CPEB3,18.18,0.036507803,331
chr3,42480000,42490000,10001,*,18.18,0.036442558,131375,42438575,42452065,-,upstream,-27935,27935,NearestLocation,LYZL4,18.18,0.036442558,332
chr13,107560000,107570000,10001,*,20.69,0.035336129,100874173,107306228,107324528,+,downstream,253772,235472,NearestLocation,LINC00443,20.69,0.035336129,333
chr13,107560000,107570000,10001,*,20.69,0.035336129,100874173,107306228,107324528,+,downstream,253772,235472,NearestLocation,LINC00443,12.54,-0.00619465,333
chr3,161130000,161140000,10001,*,17.55,0.03518549,101243545,161144215,161166030,+,upstream,-14215,4215,NearestLocation,LINC02067,33.86,-0.082156846,334
chr3,161130000,161140000,10001,*,17.55,0.03518549,101243545,161144215,161166030,+,upstream,-14215,4215,NearestLocation,LINC02067,17.55,0.03518549,334
chr3,161130000,161140000,10001,*,17.55,0.03518549,101243545,161144215,161166030,+,upstream,-14215,4215,NearestLocation,LINC02067,13.17,-0.18758897,334
chr9,110260000,110270000,10001,*,58.93,0.035155381,9314,110247133,110252047,-,upstream,-7953,7953,NearestLocation,KLF4,58.93,0.035155381,335
chr2,208615000,208620000,5001,*,16.93,0.034937659,151195,208576264,208620896,+,inside,38736,896,Overlapping,CCNYL1,16.93,0.034937659,336
chr2,208615000,208620000,5001,*,16.93,0.034937659,100616361,208619531,208619605,+,includeFeature,-4531,395,NearestLocation,MIR4775,16.93,0.034937659,336
chr2,208610000,208620000,10001,*,16.93,0.034859986,151195,208576264,208620896,+,inside,33736,896,Overlapping,CCNYL1,16.93,0.034859986,337
chr2,208610000,208620000,10001,*,16.93,0.034859986,100616361,208619531,208619605,+,includeFeature,-9531,395,NearestLocation,MIR4775,16.93,0.034859986,337
chr7,89780000,89790000,10001,*,19.44,0.03428898,26872,89783689,89794141,+,overlapStart,-3689,3689,NearestLocation,STEAP1,19.44,0.03428898,338
chr6,135740000,135750000,10001,*,20.69,0.033663411,54806,135605110,135818903,-,inside,78903,68903,NearestLocation,AHI1,20.69,0.033663411,339
chr9,101610000,101615000,5001,*,23.82,0.033648936,79695,101569981,101612363,+,overlapEnd,40019,2363,NearestLocation,GALNT12,23.82,0.033648936,340
chr7,82350000,82360000,10001,*,18.81,0.033636681,781,81579418,82073031,-,upstream,-276969,276969,NearestLocation,CACNA2D1,18.81,0.033636681,341
chr15,70380000,70385000,5001,*,18.81,0.033398349,693214,70371711,70371807,-,upstream,-8193,8193,NearestLocation,MIR629,18.81,0.033398349,342
chr15,70380000,70385000,5001,*,18.81,0.033398349,7090,70340543,70390256,-,inside,10256,5256,Overlapping,TLE3,18.81,0.033398349,342
chr8,26530000,26540000,10001,*,20.69,0.033377908,1808,26371709,26515693,+,downstream,158291,14307,NearestLocation,DPYSL2,20.69,0.033377908,343
chr11,93380000,93390000,10001,*,17.55,0.033323134,85459,93394816,93463522,+,upstream,-14816,4816,NearestLocation,CEP295,17.55,0.033323134,344
chr11,93380000,93390000,10001,*,17.55,0.033323134,85459,93394816,93463522,+,upstream,-14816,4816,NearestLocation,CEP295,12.54,0.007793171,344
chr7,14760000,14770000,10001,*,18.81,0.033149613,1607,14184674,14942550,-,inside,182550,172550,NearestLocation,DGKB,18.81,0.033149613,345
chr12,78075000,78080000,5001,*,16.3,0.031822898,89795,78225069,78606790,+,upstream,-150069,145069,NearestLocation,NAV3,16.3,0.031822898,346
chr4,55100000,55110000,10001,*,16.93,0.03179221,5156,54243820,55164412,+,inside,856180,54412,Overlapping,PDGFRA,16.93,0.03179221,347
chr4,55100000,55110000,10001,*,16.93,0.03179221,170825,54966248,54968122,+,downstream,133752,131878,NearestLocation,GSX2,16.93,0.03179221,347
chr2,237250000,237260000,10001,*,16.93,0.031453128,401036,237103515,237172988,-,upstream,-77012,77012,NearestLocation,ASB18,16.93,0.031453128,348
chr2,237250000,237260000,10001,*,16.93,0.031453128,79781,237232790,237416178,-,inside,166178,17210,Overlapping,IQCA1,16.93,0.031453128,348
chr15,93060000,93070000,10001,*,19.44,0.03033137,145858,93014907,93044347,+,downstream,45093,15653,NearestLocation,C15orf32,19.44,0.03033137,349
chr3,156390000,156400000,10001,*,42.01,0.030179599,100287227,156390960,156393502,-,includeFeature,3502,960,Overlapping,TIPARP-AS1,42.01,0.030179599,350
chr3,156390000,156400000,10001,*,42.01,0.030179599,25976,156392205,156424557,+,overlapStart,-2205,2205,NearestLocation,TIPARP,42.01,0.030179599,350
chr10,93840000,93845000,5001,*,16.93,0.030138052,9044,93683736,93790080,+,downstream,156264,49920,NearestLocation,BTAF1,16.93,0.030138052,351
chr10,93840000,93845000,5001,*,16.93,0.030138052,9044,93683736,93790080,+,downstream,156264,49920,NearestLocation,BTAF1,18.18,0.036507803,351
chr10,93840000,93845000,5001,*,16.93,0.030138052,22849,93808397,94050875,-,inside,210875,31603,Overlapping,CPEB3,16.93,0.030138052,351
chr10,93840000,93845000,5001,*,16.93,0.030138052,22849,93808397,94050875,-,inside,210875,31603,Overlapping,CPEB3,18.18,0.036507803,351
chr1,162765000,162770000,5001,*,16.3,0.029890119,51478,162760496,162782608,+,inside,4504,4504,NearestLocation,HSD17B7,16.3,0.029890119,352
chr21,40475000,40500000,25001,*,30.09,0.029468842,8624,40547372,40555440,-,downstream,80440,47372,NearestLocation,PSMG1,13.17,-0.056752112,353
chr21,40475000,40500000,25001,*,30.09,0.029468842,8624,40547372,40555440,-,downstream,80440,47372,NearestLocation,PSMG1,30.09,0.029468842,353
chr8,99060000,99070000,10001,*,45.14,0.029402397,6156,99037079,99057818,-,upstream,-2182,2182,NearestLocation,RPL30,45.14,0.029402397,354
chr6,53550000,53575000,25001,*,41.38,0.029284521,401265,53512699,53530506,-,upstream,-19494,19494,NearestLocation,KLHL31,41.38,0.029284521,355
chr2,237255000,237260000,5001,*,16.93,0.029071061,79781,237232790,237416178,-,inside,161178,22210,Overlapping,IQCA1,16.93,0.029071061,356
chr2,237255000,237260000,5001,*,16.93,0.029071061,401036,237103515,237172988,-,upstream,-82012,82012,NearestLocation,ASB18,16.93,0.029071061,356
chr5,23820000,23825000,5001,*,15.67,0.028435911,56979,23507724,23528706,+,downstream,312276,291294,NearestLocation,PRDM9,15.67,0.028435911,357
chr5,23820000,23825000,5001,*,15.67,0.028435911,56979,23507724,23528706,+,downstream,312276,291294,NearestLocation,PRDM9,14.42,0.02206616,357
chr11,125290000,125300000,10001,*,22.57,0.028428038,63876,125034559,125303285,+,inside,255441,3285,Overlapping,PKNOX2,22.57,0.028428038,358
chr11,125290000,125300000,10001,*,22.57,0.028428038,9638,125315641,125366206,-,downstream,76206,15641,NearestLocation,FEZ1,22.57,0.028428038,358
chr4,113010000,113020000,10001,*,17.55,0.028180237,132720,113066553,113110237,+,upstream,-56553,46553,NearestLocation,FAM241A,17.55,0.028180237,359
chr18,57010000,57020000,10001,*,28.84,0.028162809,3998,56995056,57026508,-,inside,16508,6508,NearestLocation,LMAN1,28.84,0.028162809,360
chr1,173370000,173380000,10001,*,18.81,0.02815787,100506023,173204199,173446294,-,inside,76294,66294,NearestLocation,LOC100506023,18.81,0.02815787,361
chr17,56080000,56090000,10001,*,18.18,0.028120628,6426,56078280,56084707,-,overlapStart,4707,1720,NearestLocation,SRSF1,18.18,0.028120628,362
chr5,5470000,5480000,10001,*,18.18,0.027940169,23379,5422786,5490347,+,inside,47214,10347,NearestLocation,ICE1,18.18,0.027940169,363
chr8,81520000,81530000,10001,*,16.93,0.027165332,65986,81397854,81438500,+,downstream,122146,81500,NearestLocation,ZBTB10,16.93,0.027165332,364
chr20,4735000,4740000,5001,*,18.18,0.027048382,149830,4711928,4721314,-,upstream,-13686,13686,NearestLocation,PRNT,18.18,0.027048382,365
chr20,4735000,4740000,5001,*,18.18,0.027048382,149830,4711928,4721314,-,upstream,-13686,13686,NearestLocation,PRNT,29.47,0.098519398,365
chr15,70765000,70770000,5001,*,50.78,0.02610209,55075,70946893,71055850,-,downstream,290850,176893,NearestLocation,UACA,50.78,0.02610209,366
chr11,11055000,11060000,5001,*,16.3,0.025944207,729013,10879764,10900823,+,downstream,175236,154177,NearestLocation,ZBED5-AS1,16.3,0.025944207,367
chr18,56440000,56445000,5001,*,15.05,0.025580921,55205,56530061,56653709,+,upstream,-90061,85061,NearestLocation,ZNF532,15.05,0.025580921,368
chr18,56440000,56450000,10001,*,15.05,0.02556276,55205,56530061,56653709,+,upstream,-90061,80061,NearestLocation,ZNF532,15.05,0.02556276,369
chr1,53740000,53745000,5001,*,15.05,0.025524889,4116,53692564,53704282,-,upstream,-35718,35718,NearestLocation,MAGOH,15.05,0.025524889,370
chr1,53740000,53745000,5001,*,15.05,0.025524889,7804,53708041,53793821,-,inside,53821,31959,Overlapping,LRP8,15.05,0.025524889,370
chr1,53740000,53745000,5001,*,15.05,0.025524889,100507564,53704282,53708455,+,downstream,35718,31545,NearestLocation,MAGOH-DT,15.05,0.025524889,370
chr14,34300000,34310000,10001,*,17.55,0.025510829,112399,34393421,34420284,-,downstream,120284,83421,NearestLocation,EGLN3,15.67,0.015930723,371
chr14,34300000,34310000,10001,*,17.55,0.025510829,112399,34393421,34420284,-,downstream,120284,83421,NearestLocation,EGLN3,17.55,0.025510829,371
chr5,63255000,63260000,5001,*,15.05,0.025499753,3350,63255875,63258119,-,includeFeature,3119,875,NearestLocation,HTR1A,15.05,0.025499753,372
chr15,99390000,99400000,10001,*,33.23,0.025443226,3480,99192761,99507759,+,inside,197239,107759,Overlapping,IGF1R,33.23,0.025443226,373
chr15,99390000,99400000,10001,*,33.23,0.025443226,100616432,99327655,99327731,+,downstream,62345,62269,NearestLocation,MIR4714,33.23,0.025443226,373
chr5,63115000,63120000,5001,*,15.05,0.025129414,3350,63255875,63258119,-,downstream,143119,135875,NearestLocation,HTR1A,15.05,0.025129414,374
chr1,32785000,32790000,5001,*,15.67,0.025013767,65108,32799430,32801840,-,downstream,16840,9430,NearestLocation,MARCKSL1,15.67,0.025013767,375
chr1,32785000,32790000,5001,*,15.67,0.025013767,3065,32757708,32799224,+,inside,27292,9224,Overlapping,HDAC1,15.67,0.025013767,375
chr12,3400000,3425000,25001,*,24.45,0.024923715,56341,3490515,3703138,+,upstream,-90515,65515,NearestLocation,PRMT8,24.45,0.024923715,376
chr17,68610000,68620000,10001,*,17.55,0.024910273,400617,68163102,68165543,-,upstream,-444457,444457,NearestLocation,KCNJ2-AS1,20.06,0.037700734,377
chr17,68610000,68620000,10001,*,17.55,0.024910273,400617,68163102,68165543,-,upstream,-444457,444457,NearestLocation,KCNJ2-AS1,17.55,0.024910273,377
chr3,187450000,187475000,25001,*,96.55,0.024445133,604,187439165,187463513,-,overlapStart,13513,10835,NearestLocation,BCL6,96.55,0.024445133,378
chr3,187450000,187475000,25001,*,96.55,0.024445133,100131635,187420154,187450203,+,overlapEnd,29846,203,Overlapping,LOC100131635,96.55,0.024445133,378
chr5,80800000,80805000,5001,*,20.06,0.024372349,134526,80625947,80689988,-,upstream,-110012,110012,NearestLocation,ACOT12,20.06,0.024372349,379
chr5,80800000,80805000,5001,*,20.06,0.024372349,23635,80713179,81047072,-,inside,247072,86821,Overlapping,SSBP2,20.06,0.024372349,379
chr7,137140000,137150000,10001,*,16.3,0.024295309,5764,136912092,137028546,-,upstream,-111454,111454,NearestLocation,PTN,16.3,0.024295309,380
chr7,137140000,137150000,10001,*,16.3,0.024295309,9162,137074385,137531609,-,inside,391609,65615,Overlapping,DGKI,16.3,0.024295309,380
chr7,38145000,38150000,5001,*,15.05,0.024276408,83930,38217808,38270272,+,upstream,-72808,67808,NearestLocation,STARD3NL,15.05,0.024276408,381
chr3,42580000,42590000,10001,*,18.18,0.023850422,9117,42589459,42642572,-,overlapEnd,62572,541,Overlapping,SEC22C,18.18,0.023850422,382
chr3,42580000,42590000,10001,*,18.18,0.023850422,7433,42530791,42579065,+,downstream,49209,935,NearestLocation,VIPR1,18.18,0.023850422,382
chrX,11780000,11790000,10001,*,15.05,0.023738201,10943,11776278,11793872,+,inside,3722,3722,NearestLocation,MSL3,15.05,0.023738201,383
